"","X","Title","Author","Subject","Abstract","Meta"
"114",114,"agent design pattern catalogue: a collection of architectural patterns for foundation model based agents","yue liu, sin kit lo, qinghua lu, liming zhu, dehai zhao, xiwei xu, stefan harrer, jon whittle","artificial intelligence (cs.ai)","foundation model-enabled generative artificial intelligence facilitates the development and implementation of agents, which can leverage distinguished reasoning and language processing capabilities to takes a proactive, autonomous role to pursue users' goals. nevertheless, there is a lack of systematic knowledge to guide practitioners in designing the agents considering challenges of goal-seeking (including generating instrumental goals and plans), such as hallucinations inherent in foundation models, explainability of reasoning process, complex accountability, etc. to address this issue, we have performed a systematic literature review to understand the state-of-the-art foundation model-based agents and the broader ecosystem. in this paper, we present a pattern catalogue consisting of  architectural patterns with analyses of the context, forces, and trade-offs as the outcomes from the previous literature review. the proposed catalogue can provide holistic guidance for the effective use of patterns, and support the architecture design of foundation model-based agents by facilitating goal-seeking and plan generation.",2024-05-16
"115",115,"amcen: an attention masking-based contrastive event network for two-stage temporal knowledge graph reasoning","jing yang, xiao wang, yutong wang, jiawei wang, fei-yue wang","machine learning (cs.lg)","temporal knowledge graphs (tkgs) can effectively model the ever-evolving nature of real-world knowledge, and their completeness and enhancement can be achieved by reasoning new events from existing ones. however, reasoning accuracy is adversely impacted due to an imbalance between new and recurring events in the datasets. to achieve more accurate tkg reasoning, we propose an attention masking-based contrastive event network (amcen) with local-global temporal patterns for the two-stage prediction of future events. in the network, historical and non-historical attention mask vectors are designed to control the attention bias towards historical and non-historical entities, acting as the key to alleviating the imbalance. a local-global message-passing module is proposed to comprehensively consider and capture multi-hop structural dependencies and local-global temporal evolution for the in-depth exploration of latent impact factors of different event types. a contrastive event classifier is used to classify events more accurately by incorporating local-global temporal patterns into contrastive learning. therefore, amcen refines the prediction scope with the results of the contrastive event classification, followed by utilizing attention masking-based decoders to finalize the specific outcomes. the results of our experiments on four benchmark datasets highlight the superiority of amcen. especially, the considerable improvements in hits@ prove that amcen can make more precise predictions about future occurrences.",2024-05-16
"116",116,"a design trajectory map of human-ai collaborative reinforcement learning systems: survey and taxonomy","zhaoxing li","human-computer interaction (cs.hc)","driven by the algorithmic advancements in reinforcement learning and the increasing number of implementations of human-ai collaboration, collaborative reinforcement learning (crl) has been receiving growing attention. despite this recent upsurge, this area is still rarely systematically studied. in this paper, we provide an extensive survey, investigating crl methods based on both interactive reinforcement learning algorithms and human-ai collaborative frameworks that were proposed in the past decade. we elucidate and discuss via synergistic analysis methods both the growth of the field and the state-of-the-art; we conceptualise the existing frameworks from the perspectives of design patterns, collaborative levels, parties and capabilities, and review interactive methods and algorithmic models. specifically, we create a new human-ai crl design trajectory map, as a systematic modelling tool for the selection of existing crl frameworks, as well as a method of designing new crl systems, and finally of improving future crl designs. furthermore, we elaborate generic human-ai crl challenges, providing the research community with a guide towards novel research directions. the aim of this paper is to empower researchers with a systematic framework for the design of efficient and 'natural' human-ai collaborative methods, making it possible to work on maximised realisation of humans' and ai's potentials.",2024-05-16
"117",117,"libra: building decoupled vision system on large language models","yifan xu, xiaoshan yang, yaguang song, changsheng xu","computer vision and pattern recognition (cs.cv)","in this work, we introduce libra, a prototype model with a decoupled vision system on a large language model (llm). the decoupled vision system decouples inner-modal modeling and cross-modal interaction, yielding unique visual information modeling and effective cross-modal comprehension. libra is trained through discrete auto-regressive modeling on both vision and language inputs. specifically, we incorporate a routed visual expert with a cross-modal bridge module into a pretrained llm to route the vision and language flows during attention computing to enable different attention patterns in inner-modal modeling and cross-modal interaction scenarios. experimental results demonstrate that the dedicated design of libra achieves a strong mllm baseline that rivals existing works in the image-to-text scenario with merely  million training data, providing a new perspective for future multimodal foundation models. code is available at this https url.",2024-05-16
"118",118,"on-chip integrated metasystem for spin-dependent multi-channel colour holography","zhan-ying ma, xian-jin liu, yu-qi peng, da-sen zhang, zhen-zhen liu, jun-jun xiao","optics (physics.optics)","on-chip integrated metasurface driven by in-plane guided waves is of great interests in various light field manipulation applications such as colorful augmented reality and holographic display. however, it remains a challenge to design colorful multichannel holography by a single on-chip metasurface. here we present metasurfaces integrated on top of guided-wave photonic slab that achieves multi-channel colorful holographic light display. an end-to-end scheme is used to inverse design the metasurface for projecting off-chip preset multiple patterns. particular examples are presented for customized patterns that were encoded into the metasurface with a single-cell meta-atom, working simultaneously at rgb color channels and for several different diffractive distance, with polarization dependence. holographic images are generated at  independent channels with such a single-cell metasurface. the proposed design scheme is easy to implement and the resulting device is viable to fabrication, promising a plenty of applications in nanophotonics.",2024-05-16
"119",119,"minimaxad: a lightweight autoencoder for feature-rich anomaly detection","fengjie wang, chengming liu, lei shi, pang haibo","computer vision and pattern recognition (cs.cv)","previous unsupervised anomaly detection (uad) methods often struggle with significant intra-class diversity; i.e., a class in a dataset contains multiple subclasses, which we categorize as feature-rich anomaly detection datasets (frads). this is evident in applications such as unified setting and unmanned supermarket scenarios. to address this challenge, we developed minimaxad: a lightweight autoencoder designed to efficiently compress and memorize extensive information from normal images. our model utilizes a large kernel convolutional network equipped with a global response normalization (grn) unit and employs a multi-scale feature reconstruction strategy. the grn unit significantly increases the upper limit of the network's capacity, while the large kernel convolution facilitates the extraction of highly abstract patterns, leading to compact normal feature modeling. additionally, we introduce an adaptive contraction loss (adcloss), tailored to frads to overcome the limitations of global cosine distance loss. minimaxad was comprehensively tested across six challenging uad benchmarks, achieving state-of-the-art results in four and highly competitive outcomes in the remaining two. notably, our model achieved a detection auroc of up to .\% in visa under the unified setting. moreover, it not only achieved state-of-the-art performance in unmanned supermarket tasks but also exhibited an inference speed  times faster than the previous best method, demonstrating its effectiveness in complex uad tasks.",2024-05-16
"120",120,"infrared adversarial car stickers","xiaopei zhu, yuqiu liu, zhanhao hu, jianmin li, xiaolin hu","computer vision and pattern recognition (cs.cv)","infrared physical adversarial examples are of great significance for studying the security of infrared ai systems that are widely used in our lives such as autonomous driving. previous infrared physical attacks mainly focused on d infrared pedestrian detection which may not fully manifest its destructiveness to ai systems. in this work, we propose a physical attack method against infrared detectors based on d modeling, which is applied to a real car. the goal is to design a set of infrared adversarial stickers to make cars invisible to infrared detectors at various viewing angles, distances, and scenes. we build a d infrared car model with real infrared characteristics and propose an infrared adversarial pattern generation method based on d mesh shadow. we propose a d control points-based mesh smoothing algorithm and use a set of smoothness loss functions to enhance the smoothness of adversarial meshes and facilitate the sticker implementation. besides, we designed the aluminum stickers and conducted physical experiments on two real mercedes-benz al cars. our adversarial stickers hid the cars from faster rcnn, an object detector, at various viewing angles, distances, and scenes. the attack success rate (asr) was .% for real cars. in comparison, the asrs of random stickers and no sticker were only .% and .%, respectively. in addition, the asrs of the designed stickers against six unseen object detectors such as yolov and deformable detr were between .%-.%, showing good transferability of the attack performance across detectors.",2024-05-16
"121",121,"beam pattern modulation embedded hybrid transceiver optimization for integrated sensing and communication","boxun liu, shijian gao, zonghui yang, xiang cheng, liuqing yang","signal processing (eess.sp)","integrated sensing and communication (isac) emerges as a promising technology for bg/g, particularly in the millimeter-wave (mmwave) band. however, the widely utilized hybrid architecture in mmwave systems compromises multiplexing gain due to the constraints of limited radio frequency chains. moreover, additional sensing functionalities exacerbate the impairment of spectrum efficiency (se). in this paper, we present an optimized beam pattern modulation-embedded isac (bpm-isac) transceiver design, which spares one rf chain for sensing and the others for communication. to compensate for the reduced se, index modulation across communication beams is applied. we formulate an optimization problem aimed at minimizing the mean squared error (mse) of the sensing beampattern, subject to a symbol mse constraint. this problem is then solved by sequentially optimizing the analog and digital parts. both the multi-aperture structure (mas) and the multi-beam structure (mbs) are considered for the design of the analog part. we conduct theoretical analysis on the asymptotic pairwise error probability (apep) and the cramér-rao bound (crb) of direction of arrival (doa) estimation. numerical simulations validate the overall enhanced isac performance over existing alternatives.",2024-05-16
"122",122,"optimizing curved em skins for opportunistic relaying in vehicular networks","reza aghazadeh ayoubi, silvia mura, dario tagliaferri, marouan mizmizi, umberto spagnolini","signal processing (eess.sp)","electromagnetic skins (emss) are recognized for enhancing communication performance, spanning from coverage to capacity. while much of the scientific literature focuses on reconfigurable intelligent surfaces that dynamically adjust phase configurations over time, this study takes a different approach by considering low-cost static passive curved ems (cems)s. these are pre-configured during manufacturing to conform to the shape of irregular surfaces, e.g., car doors, effectively transforming them into anomalous mirrors. this design allows vehicles to serve as opportunistic passive relays, mitigating blockage issues in vehicular networks. this paper delves into a novel design method for the phase profile of cems based on coarse a-priori distributions of incident and reflection angles onto the surface, influenced by vehicular traffic patterns. a penalty-based method is employed to optimize both the average spectral efficiency (se) and average coverage probability, and it is compared against a lower-complexity and physically intuitive modular architecture, utilizing a codebook-based discrete optimization technique. numerical results demonstrate that properly designed cems lead to a remarkable improvements in average se and coverage probability, namely when the direct path is blocked.",2024-05-15
"123",123,"design and implementation of mmwave surface wave enabled fluid antennas and experimental results for fluid antenna multiple access","yuanjun shen, boyi tang, shuai gao, kin-fai tong, hang wong, kai-kit wong, yangyang zhang","signal processing (eess.sp)","while multiple-input multiple-output (mimo) technologies continue to advance, concerns arise as to how mimo can remain scalable if more users are to be accommodated with an increasing number of antennas at the base station (bs) in the upcoming sixth generation (g). recently, the concept of fluid antenna system (fas) has emerged, which promotes position flexibility to enable transmitter channel state information (csi) free spatial multiple access on one radio frequency (rf) chain. on the theoretical side, the fluid antenna multiple access (fama) approach offers a scalable alternative to massive mimo spatial multiplexing. however, fama lacks experimental validation and the hardware implementation of fas remains a mysterious approach. the aim of this paper is to provide a novel hardware design for fas and evaluate the performance of fama using experimental data. our fas design is based on a dynamically reconfigurable ""fluid"" radiator which is capable of adjusting its position within a predefined space. one single-channel fluid antenna (scfa) and one double-channel fluid antenna (dcfa) are designed, electromagnetically simulated, fabricated, and measured. the measured radiation patterns of prototypes are imported into channel and network models for evaluating their performance in fama. the experimental results demonstrate that in the g millimeter-wave (mmwave) bands (- ghz), the fas prototypes can vary their gain up to an averaged value of  dbi. in the case of -user fama, the double-channel fas can significantly reduce outage probability by % and increases the multiplexing gain to . when compared to a static omnidirectional antenna.",2024-05-15
"124",124,"harnessing pattern-by-pattern linear classifiers for prediction with missing data","angel d reyero lobo, alexis ayme (lpsm), claire boyer (lpsm), erwan scornet (lpsm)","statistics theory (math.st)","missing values have been thoroughly analyzed in the context of linear models, where the final aim is to build coefficient estimates. however, estimating coefficients does not directly solve the problem of prediction with missing entries: a manner to address empty components must be designed. major approaches to deal with prediction with missing values are empirically driven and can be decomposed into two families: imputation (filling in empty fields) and pattern-by-pattern prediction, where a predictor is built on each missing pattern. unfortunately, most simple imputation techniques used in practice (as constant imputation) are not consistent when combined with linear models. in this paper, we focus on the more flexible pattern-by-pattern approaches and study their predictive performances on missing completely at random (mcar) data. we first show that a pattern-by-pattern logistic regression model is intrinsically ill-defined, implying that even classical logistic regression is impossible to apply to missing data. we then analyze the perceptron model and show how the linear separability property extends to partially-observed inputs. finally, we use the linear discriminant analysis to prove that pattern-by-pattern lda is consistent in a high-dimensional regime. we refine our analysis to more complex mnar data.",2024-05-15
"125",125,"theorizing deception: a scoping review of theory in research on dark patterns and deceptive design","weichen joe chang, katie seaborn, andrew a. adams","human-computer interaction (cs.hc)","the issue of dark patterns and deceptive designs (dps) in everyday interfaces and interactions continues to grow. dps are manipulative and malicious elements within user interfaces that deceive users into making unintended choices. in parallel, research on dps has significantly increased over the past two decades. as the field has matured, epistemological gaps have also become a salient and pressing concern. in this scoping review, we assessed the academic work so far --  papers between  to  -- to identify the state of theory in dp research. we identified the key theories employed, examined how these theories have been referenced, and call for enhancing the incorporation of theory into dp research. we also propose broad theoretical foundations to establish a comprehensive and solid base for contextualizing and informing future dp research from a variety of theoretical scopes and lenses.",2024-05-14
"126",126,"deceptive, disruptive, no big deal: japanese people react to simulated dark commercial patterns","katie seaborn, tatsuya itagaki, mizuki watanabe, yijia wang, ping geng, takao fujii, yuto mandai, miu kojima, suzuka yoshida","human-computer interaction (cs.hc)","dark patterns and deceptive designs (dps) are user interface elements that trick people into taking actions that benefit the purveyor. such designs are widely deployed, with special varieties found in certain nations like japan that can be traced to global power hierarchies and the local socio-linguistic context of use. in this breaking work, we report on the first user study involving japanese people (n=) experiencing a mock shopping website injected with simulated dps. we found that alphabet soup and misleading reference pricing were the most deceptive and least noticeable. social proofs, sneaking in items, and untranslation were the least deceptive but untranslation prevented most from cancelling their account. mood significantly worsened after experiencing the website. we contribute the first empirical findings on a japanese consumer base alongside a scalable approach to evaluating user attitudes, perceptions, and behaviours towards dps in an interactive context. we urge for more human participant research and ideally collaborations with industry to assess real designs in the wild.",2024-05-14
"127",127,"efficienttrain++: generalized curriculum learning for efficient visual backbone training","yulin wang, yang yue, rui lu, yizeng han, shiji song, gao huang","computer vision and pattern recognition (cs.cv)","the superior performance of modern visual backbones usually comes with a costly training procedure. we contribute to this issue by generalizing the idea of curriculum learning beyond its original formulation, i.e., training models using easier-to-harder data. specifically, we reformulate the training curriculum as a soft-selection function, which uncovers progressively more difficult patterns within each example during training, instead of performing easier-to-harder sample selection. our work is inspired by an intriguing observation on the learning dynamics of visual backbones: during the earlier stages of training, the model predominantly learns to recognize some 'easier-to-learn' discriminative patterns in the data. these patterns, when observed through frequency and spatial domains, incorporate lower-frequency components, and the natural image contents without distortion or data augmentation. motivated by these findings, we propose a curriculum where the model always leverages all the training data at every learning stage, yet the exposure to the 'easier-to-learn' patterns of each example is initiated first, with harder patterns gradually introduced as training progresses. to implement this idea in a computationally efficient way, we introduce a cropping operation in the fourier spectrum of the inputs, enabling the model to learn from only the lower-frequency components. then we show that exposing the contents of natural images can be readily achieved by modulating the intensity of data augmentation. finally, we integrate these aspects and design curriculum schedules with tailored search algorithms. the resulting method, efficienttrain++, is simple, general, yet surprisingly effective. it reduces the training time of a wide variety of popular models by .-.x on imagenet-k/k without sacrificing accuracy. it also demonstrates efficacy in self-supervised learning (e.g., mae).",2024-05-14
"128",128,"representing information on dna using patterns induced by enzymatic labeling","daniella bar-lev, tuvi etzion, eitan yaakobi, zohar yakhini","information theory (cs.it)","enzymatic dna labeling is a powerful tool with applications in biochemistry, molecular biology, biotechnology, medical science, and genomic research. this paper contributes to the evolving field of dna-based data storage by presenting a formal framework for modeling dna labeling in strings, specifically tailored for data storage purposes. our approach involves a known dna molecule as a template for labeling, employing patterns induced by a set of designed labels to represent information. one hypothetical implementation can use crispr-cas and grna reagents for labeling. various aspects of the general labeling channel, including fixed-length labels, are explored, and upper bounds on the maximal size of the corresponding codes are given. the study includes the development of an efficient encoder-decoder pair that is proven optimal in terms of maximum code size under specific conditions.",2024-05-14
"129",129,"neuromorphic robust estimation of nonlinear dynamical systems applied to satellite rendezvous","reza ahmadvand, sarah safura sharif, yaser mike banad","systems and control (eess.sy)","state estimation of nonlinear dynamical systems has long aimed to balance accuracy, computational efficiency, robustness, and reliability. the rapid evolution of various industries has amplified the demand for estimation frameworks that satisfy all these factors. this study introduces a neuromorphic approach for robust filtering of nonlinear dynamical systems: snn-emsif (spiking neural network-extended modified sliding innovation filter). snn-emsif combines the computational efficiency and scalability of snns with the robustness of emsif, an estimation framework designed for nonlinear systems with zero-mean gaussian noise. notably, the weight matrices are designed according to the system model, eliminating the need for a learning process. the framework's efficacy is evaluated through comprehensive monte carlo simulations, comparing snn-emsif with ekf and emsif. additionally, it is compared with snn-ekf in the presence of modeling uncertainties and neuron loss, using rmses as a metric. the results demonstrate the superior accuracy and robustness of snn-emsif. further analysis of runtimes and spiking patterns reveals an impressive reduction of % in emitted spikes compared to possible spikes, highlighting the computational efficiency of snn-emsif. this framework offers a promising solution for robust estimation in nonlinear dynamical systems, opening new avenues for efficient and reliable estimation in various industries that can benefit from neuromorphic computing.",2024-05-14
"130",130,"enhancing rover mobility monitoring: autoencoder-driven anomaly detection for curiosity","mielad sabzehi, peter rollins","robotics (cs.ro)","over eleven years into its mission, the mars science laboratory remains vital to nasa's mars exploration. safeguarding the rover's long-term functionality is a top mission priority. in this study, we introduce and test undercomplete autoencoder models for detecting drive anomalies, using telemetry data from wheel actuators, the rover inertial measurement unit (rimu), and the suspension system. our approach enhances post-drive data analysis during tactical downlink sessions. we explore various model architectures and input features to understand their impact on performance. evaluating the models involves testing them on unseen data to mimic real-world scenarios. our experiments demonstrate the undercomplete autoencoder model's effectiveness in detecting drive anomalies within the curiosity rover dataset. remarkably, the model even identifies subtle anomalous telemetry patterns missed by human operators. additionally, we provide insights into optimal design choices by comparing different model architectures and input features. the model's ability to capture inconspicuous anomalies, potentially indicating early-stage failures, holds promise for the field, by improving the reliability and safety of future planetary exploration missions through early anomaly detection and proactive maintenance.",2024-05-13
"131",131,"effective medium properties of stealthy hyperuniform photonic structures using multiscale physics-informed neural networks","roberto riganti, yilin zhu, wei cai, salvatore torquato, luca dal negro","optics (physics.optics)","in this article, we employ multiscale physics-informed neural networks (mscalepinns) for the inverse retrieval of the effective permittivity and homogenization of finite-size photonic media with stealthy hyperuniform (shu) disordered geometries. specifically, we show that mscalepinns are capable of capturing the fast spatial variations of complex fields scattered by arrays of dielectric nanocylinders arranged according to isotropic shu point patterns, thus enabling a systematic methodology to inverse retrieve their effective dielectric profiles. our approach extends the recently developed high-frequency homogenization theory of hyperuniform media and retrieves more general permittivity profiles for applications-relevant finite-size shu systems, unveiling unique features related to their isotropic nature. in particular, we demonstrate the existence of a transparency region beyond the long-wavelength approximation, enabling effective and isotropic homogenization even without disorder-averaging, in contrast to the case of uncorrelated poisson random patterns. we believe that the multiscale network approach introduced here enables the efficient inverse design of general effective media and finite-size metamaterials with isotropic electromagnetic responses beyond the limitations of traditional homogenization theories.",2024-05-13
"132",132,"constructing a bpe tokenization dfa","martin berglund, willeke martens, brink van der merwe","formal languages and automata theory (cs.fl)","many natural language processing systems operate over tokenizations of text to address the open-vocabulary problem. in this paper, we give and analyze an algorithm for the efficient construction of deterministic finite automata designed to operate directly on tokenizations produced by the popular byte pair encoding technique. this makes it possible to apply many existing techniques and algorithms to the tokenized case, such as pattern matching, equivalence checking of tokenization dictionaries, and composing tokenized languages in various ways.",2024-05-13
"133",133,"g-voila: gaze-facilitated information querying in daily scenarios","zeyu wang, yuanchun shi, yuntao wang, yuchen yao, kun yan, yuhan wang, lei ji, xuhai xu, chun yu","human-computer interaction (cs.hc)","modern information querying systems are progressively incorporating multimodal inputs like vision and audio. however, the integration of gaze -- a modality deeply linked to user intent and increasingly accessible via gaze-tracking wearables -- remains underexplored. this paper introduces a novel gaze-facilitated information querying paradigm, named g-voila, which synergizes users' gaze, visual field, and voice-based natural language queries to facilitate a more intuitive querying process. in a user-enactment study involving  participants in  daily scenarios (p = , scene = ), we revealed the ambiguity in users' query language and a gaze-voice coordination pattern in users' natural query behaviors with g-voila. based on the quantitative and qualitative findings, we developed a design framework for the g-voila paradigm, which effectively integrates the gaze data with the in-situ querying context. then we implemented a g-voila proof-of-concept using cutting-edge deep learning techniques. a follow-up user study (p = , scene = ) demonstrates its effectiveness by achieving both higher objective score and subjective score, compared to a baseline without gaze data. we further conducted interviews and provided insights for future gaze-facilitated information querying systems.",2024-05-13
"134",134,"inas on insulator: a new platform for cryogenic hybrid superconducting electronics","alessandro paghi, giacomo trupiano, giorgio de simoni, omer arif, lucia sorba, francesco giazotto","superconductivity (cond-mat.supr-con)","superconducting circuits based on hybrid inas josephson junctions (jjs) play a starring role in the design of fast and ultra-low power consumption solid-state quantum electronics and exploring novel physical phenomena. conventionally, d substrates, d quantum wells (qws), and d nanowires (nws) made of inas are employed to create superconductive circuits with hybrid jjs. each platform has its advantages and disadvantages. here, we proposed the inas-on-insulator (inasoi) as a groundbreaking platform for developing superconducting electronics. an epilayer of semiconductive inas with different electron densities was grown onto an inalas metamorphic buffer layer, efficiently used as a cryogenic insulator to decouple adjacent devices electrically. jjs with various lengths and widths were fabricated employing al as a superconductor and inas with different electron densities. we achieved a switching current density of . ua/um, a critical voltage of -to- uv, and a critical temperature equal to that of the superconductor used. for all the jjs, the switching current follows a characteristic fraunhofer pattern with an out-of-plane magnetic field. these achievements enable the use of inasoi to design and fabricate surface-exposed josephson field effect transistors with high critical current densities and superior gating properties.",2024-05-13
"135",135,"anomalyllm: few-shot anomaly edge detection for dynamic graphs using large language models","shuo liu, di yao, lanting fang, zhetao li, wenbin li, kaiyu feng, xiaowen ji, jingping bi","machine learning (cs.lg)","detecting anomaly edges for dynamic graphs aims to identify edges significantly deviating from the normal pattern and can be applied in various domains, such as cybersecurity, financial transactions and aiops. with the evolving of time, the types of anomaly edges are emerging and the labeled anomaly samples are few for each type. current methods are either designed to detect randomly inserted edges or require sufficient labeled data for model training, which harms their applicability for real-world applications. in this paper, we study this problem by cooperating with the rich knowledge encoded in large language models(llms) and propose a method, namely anomalyllm. to align the dynamic graph with llms, anomalyllm pre-trains a dynamic-aware encoder to generate the representations of edges and reprograms the edges using the prototypes of word embeddings. along with the encoder, we design an in-context learning framework that integrates the information of a few labeled samples to achieve few-shot anomaly detection. experiments on four datasets reveal that anomalyllm can not only significantly improve the performance of few-shot anomaly detection, but also achieve superior results on new anomalies without any update of model parameters.",2024-05-13
"136",136,"random walk model that universally generates inverse square lévy walk by eliminating search cost minimization constraint","shuji shinohara, daiki morita, hayato hirai, ryosuke kuribayashi, nobuhito manome, toru moriyama, hiroshi okamoto, yoshihiro nakajima, pegio-yukio gunji, ung-il chung","multiagent systems (cs.ma)","the lévy walk, a type of random walk characterized by linear step lengths that follow a power-law distribution, is observed in the migratory behaviors of various organisms, ranging from bacteria to humans. notably, lévy walks with power exponents close to two are frequently observed, though their underlying causes remain elusive. this study introduces a simplified, abstract random walk model designed to produce inverse square lévy walks, also known as cauchy walks and explores the conditions that facilitate these phenomena. in our model, agents move toward a randomly selected destination in multi-dimensional space, and their movement strategy is parameterized by the extent to which they pursue the shortest path. when the search cost is proportional to the distance traveled, this parameter effectively reflects the emphasis on minimizing search costs. our findings reveal that strict adherence to this cost minimization constraint results in a brownian walk pattern. however, removing this constraint transitions the movement to an inverse square lévy walk. therefore, by modulating the prioritization of search costs, our model can seamlessly alternate between brownian and cauchy walk dynamics. this model has the potential to be utilized for exploring the parameter space of an optimization problem.",2024-05-13
"137",137,"hell is paved with good intentions: the intricate relationship between cognitive biases and dark patterns","thomas mildner, albert inkoom, rainer malaka, jasmin niess","human-computer interaction (cs.hc)","throughout the past decade, research in hci has identified numerous instances of dark patterns in digital interfaces. these efforts have led to a well-fostered typology describing harmful strategies users struggle to navigate. however, an in-depth understanding of the underlying mechanisms that deceive, coerce, or manipulate users is missing. we explore the interplay between cognitive biases and dark patterns to address this gap. to that end, we conducted four focus groups with experts (n=) in psychology and dark pattern scholarship, inquiring how they conceptualise the relation between cognitive biases and dark patterns. based on our results, we constructed the ""relationship model of cognitive biases and dark patterns"" which illustrates how cognitive bias and deceptive design patterns relate and identifies opportune moments for ethical reconsideration and user protection mechanisms. our insights contribute to the current discourse by emphasising ethical design decisions and their implications in the field of hci.",2024-05-12
"138",138,"fields, bridges, and foundations: how researchers browse citation network visualizations","kiroong choe, eunhye kim, sangwon park, jinwook seo","human-computer interaction (cs.hc)","visualizing citation relations with network structures is widely used, but the visual complexity can make it challenging for individual researchers to navigate through them. we collected data from  researchers using an interface that we designed using network simplification methods and analyzed how users browsed and identified important papers. our analysis reveals six major patterns used for identifying papers of interest, which can be categorized into three key components: fields, bridges, and foundations, each viewed from two distinct perspectives: layout-oriented and connection-oriented. the connection-oriented approach was found to be more effective for selecting relevant papers, but the layout-oriented method was adopted more often, even though it led to unexpected results and user frustration. our findings emphasize the importance of integrating these components and the necessity to balance visual layouts with meaningful connections to enhance the effectiveness of citation networks in academic browsing systems.",2024-05-12
"139",139,"a continuum geometric approach for inverse design of origami structures","alon sardas, michael moshe, cy maor","soft condensed matter (cond-mat.soft)","miura-ori, a celebrated origami pattern that facilitates functionality in matter, has found multiple applications in the field of mechanical metamaterials. modifications of miura-ori pattern can produce curved configurations during folding, thereby enhancing its potential functionalities. thus, a key challenge in designing generalized miura-ori structures is to tailor their folding patterns to achieve desired geometries. in this work, we address this inverse-design problem by developing a new continuum framework for the differential geometry of generalized miura-ori. by assuming that the perturbation to the classical miura-ori is slowly varying in space, we derive analytical relations between geometrical properties and the perturbation field. these relationships are shown to be invertible, allowing us to design complex curved geometries. our framework enables porting knowledge, methods and tools from continuum theories of matter and differential geometry to the field of origami metamaterials.",2024-05-12
"140",140,"chained flexible capsule endoscope: unraveling the conundrum of size limitations and functional integration for gastrointestinal transitivity","sishen yuan, guang li, baijia liang, lailu li, qingzhuo zheng, shuang song, zhen li, hongliang ren","medical physics (physics.med-ph)","capsule endoscopes, predominantly serving diagnostic functions, provide lucid internal imagery but are devoid of surgical or therapeutic capabilities. consequently, despite lesion detection, physicians frequently resort to traditional endoscopic or open surgical procedures for treatment, resulting in more complex, potentially risky interventions. to surmount these limitations, this study introduces a chained flexible capsule endoscope (fce) design concept, specifically conceived to navigate the inherent volume constraints of capsule endoscopes whilst augmenting their therapeutic functionalities. the fce's distinctive flexibility originates from a conventional rotating joint design and the incision pattern in the flexible material. in vitro experiments validated the passive navigation ability of the fce in rugged intestinal tracts. further, the fce demonstrates consistent reptile-like peristalsis under the influence of an external magnetic field, and possesses the capability for film expansion and disintegration under high-frequency electromagnetic stimulation. these findings illuminate a promising path toward amplifying the therapeutic capacities of capsule endoscopes without necessitating a size compromise.",2024-05-12
"141",141,"nanophotonic oscillators for laser conversion beyond an octave","grant m. brodnik, haixin liu, david r. carlson, jennifer a. black, scott b. papp","optics (physics.optics)","many uses of lasers place the highest importance on access to specific wavelength bands. for example, mobilizing optical-atomic clocks for a leap in sensing requires compact lasers at frequencies spread across the visible and near infrared. integrated photonics enables high-performance, scalable laser platforms, however, customizing laser-gain media to support wholly new bands is challenging and often prohibitively mismatched in scalability to early quantum-based sensing and information systems. here, we demonstrate a microresonator optical-parametric oscillator (opo) that converts a pump laser to an output wave within a frequency span exceeding an octave. we achieve phase matching for oscillation by nanopatterning the microresonator to open a photonic-crystal bandgap on the mode of the pump laser. by adjusting the nanophotonic pattern and hence the bandgap, the ratio of output opo wave frequency span to required pump laser tuning is more than ,. we also demonstrate tuning the oscillator in free-spectral-range steps, more finely with temperature, and minimal additive frequency noise of the laser-conversion process. our work shows that nanophotonics offers control of laser conversion in microresonators, bridging phase-matching of nonlinear optics and application requirements for laser designs.",2024-05-10
"142",142,"rna secondary structure prediction using transformer-based deep learning models","yanlin zhou, tong zhan, yichao wu, bo song, chenxi shi","biomolecules (q-bio.bm)","the human genome project has led to an exponential increase in data related to the sequence, structure, and function of biomolecules. bioinformatics is an interdisciplinary research field that primarily uses computational methods to analyze large amounts of biological macromolecule data. its goal is to discover hidden biological patterns and related information. furthermore, analysing additional relevant information can enhance the study of biological operating mechanisms. this paper discusses the fundamental concepts of rna, rna secondary structure, and its prediction.subsequently, the application of machine learning technologies in predicting the structure of biological macromolecules is explored. this chapter describes the relevant knowledge of algorithms and computational complexity and presents a rna tertiary structure prediction algorithm based on resnet. to address the issue of the current scoring function's unsuitability for long rna, a scoring model based on resnet is proposed, and a structure prediction algorithm is designed. the chapter concludes by presenting some open and interesting challenges in the field of rna tertiary structure prediction.",2024-04-14
